Description,folio
<pro>women</pro> can see the <bp>secret places</bp> that they do not,005v
<m>glue</m> but with <m>women’s milk</m>.</ab>,057v
"greenish black are appropriate for women’s shadows. Take, then, some",065r
you will have a perfect shadow for women in <m>distemper</m>.</ab>,065r
"<ab>For women, <m>asphaltum</m>, <m>umber</m>, &amp; a little",066r
women <del>make</del> <m>gild</m>.<lb/>,066r
water</m> that <pro>women</pro> use to make their <m>starch</m>. For,113v
