File,Link
./docs/categories.md,https://edition640.makingandknowing.org/#/folios/79v/f/79v/tl
./docs/categories.md,../data/entry-metadata_scribe-hand-d.csv
./docs/categories.md,https://edition640.makingandknowing.org/#/entries
./docs/categories.md,https://edition640.makingandknowing.org/#/folios/73r/f/73r/tl
./docs/categories.md,../images/73r_fac_scribe-ann.png?raw=true
./docs/categories.md,https://edition640.makingandknowing.org/#/folios/77v/f/77v/tl
./docs/categories.md,https://edition640.makingandknowing.org/#/folios/78r/f/78r/tl
./docs/categories.md,https://edition640.makingandknowing.org/#/folios/79v/f/79v/tl
./docs/categories.md,../images/79v_fac_scribe-ann.png?raw=true
./docs/categories.md,https://edition640.makingandknowing.org/#/folios/56v/f/56v/tl
./docs/categories.md,../images/57r-scribe-annotated.png?raw=true
./docs/categories.md,../images/painting-varnish-pie-chart.png?raw=true
./docs/categories.md,../data/entry_metadata_paint-varnish_data.csv
./docs/categories.md,../data/entry_metadata_paint-varnish_analysis.csv
./docs/categories.md,../data/entry_metadata_paint-varnish.xlsx
./docs/categories.md,https://edition640.makingandknowing.org/#/folios/7r/f/7r/tl
./docs/categories.md,https://edition640.makingandknowing.org/#/folios/32r/f/32r/tl
./docs/categories.md,https://edition640.makingandknowing.org/#/folios/42v/f/42v/tl
./docs/categories.md,https://edition640.makingandknowing.org/#/folios/43r/f/43r/tl
./docs/categories.md,https://edition640.makingandknowing.org/#/folios/43r/f/43r/tl
./docs/categories.md,https://edition640.makingandknowing.org/#/folios/56v/f/56v/tl
./docs/categories.md,https://edition640.makingandknowing.org/#/folios/59r/f/59r/tl
./docs/categories.md,https://edition640.makingandknowing.org/#/folios/60r/f/60r/tl
./docs/categories.md,https://edition640.makingandknowing.org/#/folios/60v/f/60v/tl
./docs/categories.md,https://edition640.makingandknowing.org/#/folios/61v/f/61v/tl
./docs/categories.md,https://edition640.makingandknowing.org/#/folios/66r/f/66r/tl
./docs/categories.md,https://edition640.makingandknowing.org/#/folios/67v/f/67v/tl
./docs/categories.md,https://edition640.makingandknowing.org/#/folios/165r/f/165r/tl
./docs/categories.md,https://edition640.makingandknowing.org/#/folios/32r/f/32r/tl
./docs/categories.md,https://edition640.makingandknowing.org/#/folios/56v/f/56v/tl
./docs/categories.md,https://edition640.makingandknowing.org/#/folios/59r/f/59r/tl
./docs/categories.md,https://edition640.makingandknowing.org/#/folios/60v/f/60v/tl
./docs/categories.md,https://edition640.makingandknowing.org/#/folios/165r/f/165r/tl
./docs/categories.md,https://edition640.makingandknowing.org/#/folios/42v/f/42v/tl
./docs/categories.md,https://edition640.makingandknowing.org/#/folios/43r/f/43r/tl
./docs/categories.md,https://edition640.makingandknowing.org/#/folios/7r/f/7r/tl
./docs/categories.md,https://edition640.makingandknowing.org/#/folios/67v/f/67v/tl
./docs/categories.md,https://edition640.makingandknowing.org/#/folios/60r/f/60r/tl
./docs/categories.md,https://edition640.makingandknowing.org/#/folios/66r/f/66r/tl
./docs/Chaillard_final-report.md,https://github.com/danachaillard
./docs/Chaillard_final-report.md,https://github.com/cu-mkp/manuscript-object/blob/v1.0-danachaillard/word_clouds.py
